0,1,2,3,4,5,6,7,8,9,10
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
frozen meals,soda,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
beef,sugar,,,,,,,,,
brown bread,frozen meals,cat food,white bread,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
canned beer,soda,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
pet care,cake bar,,,,,,,,,
spread cheese,shopping bags,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
zwieback,UHT-milk,,,,,,,,,
pastry,yogurt,,,,,,,,,
citrus fruit,cat food,,,,,,,,,
whole milk,chicken,,,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
yogurt,shopping bags,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
cream cheese ,candy,,,,,,,,,
soda,misc. beverages,,,,,,,,,
sausage,yogurt,dishes,,,,,,,,
salty snack,tropical fruit,,,,,,,,,
canned fish,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
white wine,bottled beer,,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
chicken,specialty chocolate,,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
berries,fruit/vegetable juice,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
curd,pip fruit,,,,,,,,,
whole milk,newspapers,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
margarine,UHT-milk,brown bread,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,liquor,,,,,,,,,
dish cleaner,soda,,,,,,,,,
bottled beer,seasonal products,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chocolate,herbs,,,,,,,,,
margarine,dishes,,,,,,,,,
canned beer,napkins,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
beef,bottled water,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
citrus fruit,beef,,,,,,,,,
butter,other vegetables,,,,,,,,,
berries,pastry,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
brown bread,liquor,,,,,,,,,
soda,domestic eggs,tea,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,ice cream,,,,,,,,,
berries,rolls/buns,pastry,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
other vegetables,liquor,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,cling film/bags,hard cheese,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
tidbits,whole milk,frozen vegetables,,,,,,,,
spread cheese,salty snack,soda,domestic eggs,,,,,,,
coffee,butter milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,newspapers,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
oil,soda,,,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
onions,white wine,,,,,,,,,
canned beer,seasonal products,,,,,,,,,
detergent,liquor (appetizer),,,,,,,,,
other vegetables,citrus fruit,semi-finished bread,softener,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
brown bread,pasta,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
cat food,white bread,,,,,,,,,
frozen meals,brown bread,other vegetables,curd cheese,,,,,,,
rolls/buns,soda,,,,,,,,,
margarine,soda,,,,,,,,,
pork,sliced cheese,,,,,,,,,
hygiene articles,white bread,,,,,,,,,
specialty chocolate,canned fish,,,,,,,,,
root vegetables,candy,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
frozen fish,white bread,,,,,,,,,
yogurt,brown bread,,,,,,,,,
root vegetables,skin care,,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
rolls/buns,male cosmetics,liquor (appetizer),,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
sausage,bottled water,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
UHT-milk,pastry,,,,,,,,,
white bread,curd,bottled water,,,,,,,,
male cosmetics,oil,,,,,,,,,
beef,butter,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
soda,detergent,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
root vegetables,dessert,whisky,,,,,,,,
rolls/buns,pastry,,,,,,,,,
sausage,other vegetables,,,,,,,,,
pastry,coffee,newspapers,,,,,,,,
salty snack,butter,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
yogurt,yogurt,,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
root vegetables,beverages,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
curd,sausage,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
sausage,processed cheese,baking powder,specialty cheese,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
berries,other vegetables,,,,,,,,,
grapes,whole milk,,,,,,,,,
bottled water,whole milk,,,,,,,,,
bottled beer,herbs,,,,,,,,,
sausage,frozen meals,,,,,,,,,
onions,margarine,,,,,,,,,
long life bakery product,whipped/sour cream,bottled beer,,,,,,,,
brown bread,yogurt,,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
root vegetables,white wine,,,,,,,,,
finished products,bottled beer,,,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
other vegetables,margarine,,,,,,,,,
sausage,pasta,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
seasonal products,flour,domestic eggs,,,,,,,,
pastry,hard cheese,,,,,,,,,
soups,white bread,other vegetables,,,,,,,,
whole milk,margarine,canned vegetables,,,,,,,,
newspapers,brown bread,,,,,,,,,
rolls/buns,onions,napkins,,,,,,,,
canned fish,rolls/buns,domestic eggs,,,,,,,,
sausage,fruit/vegetable juice,salt,,,,,,,,
meat,coffee,,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
rolls/buns,soda,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
cream,shopping bags,,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
margarine,liquor,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
red/blush wine,curd,,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
frozen fish,salty snack,,,,,,,,,
meat,citrus fruit,,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
whole milk,root vegetables,,,,,,,,,
yogurt,sliced cheese,whipped/sour cream,,,,,,,,
bottled water,bottled water,,,,,,,,,
dishes,brown bread,,,,,,,,,
cream cheese ,shopping bags,shopping bags,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
soda,bottled beer,baking powder,,,,,,,,
bottled beer,whole milk,bottled water,,,,,,,,
sausage,beverages,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
root vegetables,hard cheese,margarine,yogurt,,,,,,,
canned beer,yogurt,coffee,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
cereals,dessert,,,,,,,,,
butter,waffles,,,,,,,,,
soda,salty snack,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
root vegetables,whole milk,soda,,,,,,,,
chicken,pasta,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
sausage,brown bread,meat spreads,,,,,,,,
salad dressing,hard cheese,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
shopping bags,curd,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
citrus fruit,yogurt,soda,,,,,,,,
sausage,pork,pip fruit,soda,beef,fruit/vegetable juice,root vegetables,berries,misc. beverages,,
beef,curd,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
sausage,packaged fruit/vegetables,misc. beverages,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
pip fruit,curd cheese,,,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
beverages,soda,,,,,,,,,
pasta,shopping bags,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
root vegetables,chewing gum,chocolate,bottled beer,,,,,,,
yogurt,red/blush wine,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
beef,liquor,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
soda,pork,,,,,,,,,
soda,brown bread,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
dessert,photo/film,,,,,,,,,
domestic eggs,whole milk,brown bread,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
rolls/buns,soda,,,,,,,,,
pork,other vegetables,,,,,,,,,
chicken,chocolate marshmallow,hygiene articles,,,,,,,,
oil,onions,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
meat,whole milk,,,,,,,,,
other vegetables,soda,,,,,,,,,
canned beer,canned fish,,,,,,,,,
soda,frozen dessert,,,,,,,,,
citrus fruit,beef,,,,,,,,,
whole milk,sausage,pet care,yogurt,,,,,,,
sausage,rolls/buns,soda,other vegetables,,,,,,,
cat food,candy,,,,,,,,,
soda,newspapers,,,,,,,,,
root vegetables,berries,coffee,bottled beer,rice,,,,,,
frankfurter,specialty bar,whole milk,rice,dishes,,,,,,
canned beer,sausage,other vegetables,rolls/buns,,,,,,,
rice,chewing gum,rolls/buns,,,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
salt,domestic eggs,,,,,,,,,
beef,newspapers,misc. beverages,,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
UHT-milk,butter milk,napkins,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
root vegetables,snack products,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
curd,light bulbs,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
frozen dessert,hard cheese,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
sausage,salt,,,,,,,,,
ice cream,napkins,,,,,,,,,
yogurt,whole milk,,,,,,,,,
pastry,spread cheese,other vegetables,,,,,,,,
chicken,house keeping products,,,,,,,,,
ham,pastry,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
coffee,frozen fish,,,,,,,,,
misc. beverages,salt,candy,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
canned beer,soda,,,,,,,,,
coffee,oil,newspapers,,,,,,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
root vegetables,brown bread,,,,,,,,,
tropical fruit,house keeping products,,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
misc. beverages,long life bakery product,,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
ham,specialty bar,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
sausage,beef,,,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
whole milk,brown bread,,,,,,,,,
sausage,dessert,,,,,,,,,
ham,whole milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pot plants,bottled water,,,,,,,,,
rolls/buns,rum,,,,,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
tropical fruit,liquor (appetizer),,,,,,,,,
sliced cheese,sugar,,,,,,,,,
sausage,frankfurter,grapes,sausage,dog food,misc. beverages,napkins,artif. sweetener,,,
frankfurter,margarine,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
hard cheese,sugar,,,,,,,,,
newspapers,salty snack,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
sugar,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
brown bread,pet care,,,,,,,,,
dessert,cream cheese ,,,,,,,,,
frankfurter,soda,,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
whole milk,soft cheese,pastry,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
misc. beverages,bottled water,,,,,,,,,
finished products,other vegetables,,,,,,,,,
ham,newspapers,,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
beef,hamburger meat,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
soda,soft cheese,,,,,,,,,
pork,pastry,rolls/buns,,,,,,,,
misc. beverages,coffee,,,,,,,,,
spices,ice cream,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
canned fruit,dog food,,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
dog food,pastry,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
domestic eggs,roll products ,oil,,,,,,,,
packaged fruit/vegetables,herbs,,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
citrus fruit,tropical fruit,pork,other vegetables,whole milk,yogurt,flower (seeds),,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
sausage,root vegetables,brown bread,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
liver loaf,specialty chocolate,,,,,,,,,
tropical fruit,oil,,,,,,,,,
specialty bar,candy,,,,,,,,,
pork,sugar,,,,,,,,,
soda,pork,,,,,,,,,
pastry,bottled water,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
bottled beer,sausage,candy,yogurt,,,,,,,
pastry,soda,detergent,,,,,,,,
dishes,pastry,,,,,,,,,
whole milk,yogurt,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
butter,domestic eggs,,,,,,,,,
pork,whole milk,napkins,,,,,,,,
root vegetables,hygiene articles,domestic eggs,,,,,,,,
whole milk,berries,,,,,,,,,
canned beer,rolls/buns,other vegetables,dog food,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
chicken,other vegetables,pastry,onions,,,,,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
turkey,other vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
whole milk,male cosmetics,,,,,,,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
canned beer,frozen fish,,,,,,,,,
whole milk,misc. beverages,pot plants,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
curd,curd,,,,,,,,,
misc. beverages,other vegetables,,,,,,,,,
pet care,spread cheese,,,,,,,,,
herbs,whole milk,frozen dessert,,,,,,,,
pork,curd,curd cheese,misc. beverages,,,,,,,
herbs,canned beer,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,root vegetables,canned vegetables,,,,,,,,
pip fruit,soda,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pork,pastry,,,,,,,,,
chicken,onions,,,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
soda,cereals,whole milk,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,flour,,,,,,,,,
canned beer,canned beer,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
pork,brown bread,,,,,,,,,
soda,prosecco,canned fish,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
dessert,soda,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
soda,shopping bags,,,,,,,,,
other vegetables,domestic eggs,napkins,,,,,,,,
root vegetables,butter milk,,,,,,,,,
baking powder,brown bread,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
yogurt,soda,,,,,,,,,
frozen dessert,yogurt,,,,,,,,,
whole milk,ice cream,,,,,,,,,
frankfurter,pork,,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
pastry,bottled beer,,,,,,,,,
bottled water,newspapers,,,,,,,,,
canned beer,sausage,butter,other vegetables,salty snack,,,,,,
root vegetables,processed cheese,,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
yogurt,pastry,,,,,,,,,
pork,sugar,,,,,,,,,
white wine,tropical fruit,,,,,,,,,
ham,tropical fruit,soda,,,,,,,,
coffee,sliced cheese,,,,,,,,,
bottled beer,napkins,whole milk,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
frankfurter,ketchup,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
beef,condensed milk,specialty chocolate,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,grapes,white bread,dishes,,,,,,,
root vegetables,waffles,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
yogurt,salty snack,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
berries,ham,,,,,,,,,
sliced cheese,dessert,shopping bags,,,,,,,,
canned beer,ice cream,,,,,,,,,
bottled beer,cat food,newspapers,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
chicken,brown bread,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
other vegetables,specialty bar,,,,,,,,,
citrus fruit,soda,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
soups,coffee,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
root vegetables,candy,,,,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
other vegetables,fruit/vegetable juice,coffee,,,,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
rolls/buns,butter milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
other vegetables,soda,,,,,,,,,
beverages,coffee,,,,,,,,,
rolls/buns,margarine,domestic eggs,,,,,,,,
herbs,yogurt,prosecco,,,,,,,,
butter,potato products,,,,,,,,,
white bread,newspapers,,,,,,,,,
whole milk,candy,,,,,,,,,
canned beer,salty snack,,,,,,,,,
meat,rolls/buns,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
shopping bags,white wine,,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
sausage,curd,,,,,,,,,
onions,rolls/buns,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
ham,yogurt,bottled water,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
pickled vegetables,hygiene articles,,,,,,,,,
soda,citrus fruit,,,,,,,,,
soda,frozen meals,soft cheese,curd,,,,,,,
whole milk,whole milk,,,,,,,,,
soda,mayonnaise,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
whole milk,canned fish,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
candy,other vegetables,,,,,,,,,
hamburger meat,soda,,,,,,,,,
beef,frozen fish,whole milk,,,,,,,,
tropical fruit,coffee,softener,soda,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
whole milk,whole milk,,,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
beef,waffles,detergent,shopping bags,,,,,,,
chocolate,seasonal products,waffles,,,,,,,,
rolls/buns,napkins,,,,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
soda,Instant food products,,,,,,,,,
dish cleaner,whole milk,canned fish,,,,,,,,
tropical fruit,pastry,,,,,,,,,
rolls/buns,bottled water,whole milk,,,,,,,,
cat food,semi-finished bread,,,,,,,,,
hamburger meat,whole milk,pet care,meat,other vegetables,rolls/buns,grapes,oil,,,
frankfurter,curd,coffee,,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
other vegetables,pip fruit,,,,,,,,,
pork,pork,,,,,,,,,
sausage,salty snack,,,,,,,,,
yogurt,berries,onions,pip fruit,,,,,,,
bottled beer,beverages,hard cheese,fruit/vegetable juice,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
margarine,processed cheese,candles,shopping bags,,,,,,,
soda,whipped/sour cream,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
long life bakery product,soap,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
pastry,bottled water,,,,,,,,,
frankfurter,coffee,,,,,,,,,
ham,rolls/buns,canned fish,shopping bags,,,,,,,
white wine,ice cream,,,,,,,,,
other vegetables,meat,,,,,,,,,
salt,soda,rolls/buns,,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
canned beer,whole milk,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
cream cheese ,domestic eggs,,,,,,,,,
soda,curd,,,,,,,,,
yogurt,whole milk,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
misc. beverages,bottled water,other vegetables,coffee,,,,,,,
spread cheese,brown bread,,,,,,,,,
pork,yogurt,,,,,,,,,
pip fruit,citrus fruit,curd,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
tropical fruit,domestic eggs,,,,,,,,,
turkey,root vegetables,frozen meals,soda,spread cheese,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled water,chicken,other vegetables,ketchup,,,,,,,
sausage,waffles,,,,,,,,,
canned beer,long life bakery product,dish cleaner,candy,,,,,,,
domestic eggs,citrus fruit,,,,,,,,,
rolls/buns,frankfurter,soda,canned fish,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
curd,other vegetables,,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
pork,ham,specialty chocolate,whole milk,long life bakery product,detergent,,,,,
whole milk,softener,sliced cheese,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
butter milk,yogurt,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
salty snack,bottled water,,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
ice cream,grapes,,,,,,,,,
soda,margarine,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
yogurt,baking powder,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
beef,yogurt,,,,,,,,,
whole milk,brown bread,,,,,,,,,
frankfurter,pastry,canned beer,pastry,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
shopping bags,cake bar,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
pip fruit,pip fruit,,,,,,,,,
whole milk,pork,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
bottled beer,instant coffee,,,,,,,,,
other vegetables,coffee,,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
soda,coffee,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
whole milk,pot plants,,,,,,,,,
margarine,misc. beverages,,,,,,,,,
bottled water,soda,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
chicken,soda,packaged fruit/vegetables,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
rolls/buns,male cosmetics,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
root vegetables,yogurt,,,,,,,,,
soda,sugar,,,,,,,,,
frozen potato products,frozen vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,pastry,,,,,,,,,
canned beer,other vegetables,margarine,,,,,,,,
frankfurter,brown bread,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
pastry,other vegetables,,,,,,,,,
chicken,root vegetables,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
pot plants,baking powder,,,,,,,,,
ham,UHT-milk,,,,,,,,,
sausage,dessert,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
tropical fruit,whole milk,dish cleaner,yogurt,newspapers,,,,,,
sausage,shopping bags,light bulbs,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
UHT-milk,specialty cheese,,,,,,,,,
chocolate,whipped/sour cream,brown bread,,,,,,,,
ham,berries,,,,,,,,,
napkins,pastry,,,,,,,,,
soda,other vegetables,,,,,,,,,
